Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2026,7,Chiapas,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,1,1,4,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,2,2,1,3,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,1,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,1,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,,,,,,,,
